,TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision
1048,8559,1441,3569,6431,0.75,0.86,0.64,0.77,0.71
1049,8558,1442,3568,6432,0.75,0.86,0.64,0.77,0.71
1050,8557,1443,3567,6433,0.75,0.86,0.64,0.77,0.71
1051,8556,1444,3566,6434,0.75,0.86,0.64,0.77,0.71
1052,8555,1445,3565,6435,0.75,0.86,0.64,0.77,0.71
1053,8554,1446,3564,6436,0.75,0.86,0.64,0.77,0.71
1054,8553,1447,3563,6437,0.75,0.86,0.64,0.77,0.71
1055,8552,1448,3562,6438,0.75,0.86,0.64,0.77,0.71
1056,8551,1449,3561,6439,0.75,0.86,0.64,0.77,0.71
1057,8550,1450,3560,6440,0.75,0.86,0.64,0.77,0.71
1058,8578,1422,3589,6411,0.75,0.86,0.64,0.77,0.71
1059,8577,1423,3588,6412,0.75,0.86,0.64,0.77,0.71
1060,8576,1424,3587,6413,0.75,0.86,0.64,0.77,0.71
1061,8575,1425,3586,6414,0.75,0.86,0.64,0.77,0.71
1062,8574,1426,3585,6415,0.75,0.86,0.64,0.77,0.71
1063,8573,1427,3584,6416,0.75,0.86,0.64,0.77,0.71
1064,8572,1428,3583,6417,0.75,0.86,0.64,0.77,0.71
1065,8571,1429,3582,6418,0.75,0.86,0.64,0.77,0.71
1066,8570,1430,3581,6419,0.75,0.86,0.64,0.77,0.71
1067,8569,1431,3580,6420,0.75,0.86,0.64,0.77,0.71
1068,8568,1432,3579,6421,0.75,0.86,0.64,0.77,0.71
1069,8567,1433,3578,6422,0.75,0.86,0.64,0.77,0.71
1070,8566,1434,3577,6423,0.75,0.86,0.64,0.77,0.71
1071,8565,1435,3576,6424,0.75,0.86,0.64,0.77,0.71
1072,8564,1436,3575,6425,0.75,0.86,0.64,0.77,0.71
1073,8563,1437,3574,6426,0.75,0.86,0.64,0.77,0.71
1074,8562,1438,3573,6427,0.75,0.86,0.64,0.77,0.71
1075,8561,1439,3572,6428,0.75,0.86,0.64,0.77,0.71
1076,8560,1440,3571,6429,0.75,0.86,0.64,0.77,0.71
1077,8559,1441,3570,6430,0.75,0.86,0.64,0.77,0.71
1078,8558,1442,3569,6431,0.75,0.86,0.64,0.77,0.71
1079,8557,1443,3568,6432,0.75,0.86,0.64,0.77,0.71
1080,8556,1444,3567,6433,0.75,0.86,0.64,0.77,0.71
1081,8555,1445,3566,6434,0.75,0.86,0.64,0.77,0.71
1082,8554,1446,3565,6435,0.75,0.86,0.64,0.77,0.71
1083,8553,1447,3564,6436,0.75,0.86,0.64,0.77,0.71
1084,8552,1448,3563,6437,0.75,0.86,0.64,0.77,0.71
1085,8551,1449,3562,6438,0.75,0.86,0.64,0.77,0.71
1086,8550,1450,3561,6439,0.75,0.86,0.64,0.77,0.71
1087,8576,1424,3588,6412,0.75,0.86,0.64,0.77,0.71
1088,8575,1425,3587,6413,0.75,0.86,0.64,0.77,0.71
1089,8574,1426,3586,6414,0.75,0.86,0.64,0.77,0.71
1090,8573,1427,3585,6415,0.75,0.86,0.64,0.77,0.71
1091,8572,1428,3584,6416,0.75,0.86,0.64,0.77,0.71
