TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision,
8569,1431,3554,6446,0.75,0.86,0.64,0.77,0.71,
8568,1432,3553,6447,0.75,0.86,0.64,0.77,0.71,
8567,1433,3552,6448,0.75,0.86,0.64,0.77,0.71,
8566,1434,3551,6449,0.75,0.86,0.64,0.77,0.71,
8586,1414,3572,6428,0.75,0.86,0.64,0.77,0.71,
8585,1415,3571,6429,0.75,0.86,0.64,0.77,0.71,
8584,1416,3570,6430,0.75,0.86,0.64,0.77,0.71,
8583,1417,3569,6431,0.75,0.86,0.64,0.77,0.71,
8582,1418,3568,6432,0.75,0.86,0.64,0.77,0.71,
8581,1419,3567,6433,0.75,0.86,0.64,0.77,0.71,
8580,1420,3566,6434,0.75,0.86,0.64,0.77,0.71,
8579,1421,3565,6435,0.75,0.86,0.64,0.77,0.71,
8578,1422,3564,6436,0.75,0.86,0.64,0.77,0.71,
8577,1423,3563,6437,0.75,0.86,0.64,0.77,0.71,
8576,1424,3562,6438,0.75,0.86,0.64,0.77,0.71,
8575,1425,3561,6439,0.75,0.86,0.64,0.77,0.71,
8574,1426,3560,6440,0.75,0.86,0.64,0.77,0.71,
8573,1427,3559,6441,0.75,0.86,0.64,0.77,0.71,
8572,1428,3558,6442,0.75,0.86,0.64,0.77,0.71,
8571,1429,3557,6443,0.75,0.86,0.64,0.77,0.71,
8570,1430,3556,6444,0.75,0.86,0.64,0.77,0.71,
8569,1431,3555,6445,0.75,0.86,0.64,0.77,0.71,
8568,1432,3554,6446,0.75,0.86,0.64,0.77,0.71,
8567,1433,3553,6447,0.75,0.86,0.64,0.77,0.71,
8566,1434,3552,6448,0.75,0.86,0.64,0.77,0.71,
8565,1435,3551,6449,0.75,0.86,0.64,0.77,0.71,
8588,1412,3575,6425,0.75,0.86,0.64,0.77,0.71,
8587,1413,3574,6426,0.75,0.86,0.64,0.77,0.71,
8586,1414,3573,6427,0.75,0.86,0.64,0.77,0.71,
8585,1415,3572,6428,0.75,0.86,0.64,0.77,0.71,
8584,1416,3571,6429,0.75,0.86,0.64,0.77,0.71,
8583,1417,3570,6430,0.75,0.86,0.64,0.77,0.71,
8582,1418,3569,6431,0.75,0.86,0.64,0.77,0.71,
8581,1419,3568,6432,0.75,0.86,0.64,0.77,0.71,
8580,1420,3567,6433,0.75,0.86,0.64,0.77,0.71,
8579,1421,3566,6434,0.75,0.86,0.64,0.77,0.71,
8578,1422,3565,6435,0.75,0.86,0.64,0.77,0.71,
8577,1423,3564,6436,0.75,0.86,0.64,0.77,0.71,
8576,1424,3563,6437,0.75,0.86,0.64,0.77,0.71,
8575,1425,3562,6438,0.75,0.86,0.64,0.77,0.71,
8574,1426,3561,6439,0.75,0.86,0.64,0.77,0.71,
8573,1427,3560,6440,0.75,0.86,0.64,0.77,0.71,
8572,1428,3559,6441,0.75,0.86,0.64,0.77,0.71,
8571,1429,3558,6442,0.75,0.86,0.64,0.77,0.71,
8570,1430,3557,6443,0.75,0.86,0.64,0.77,0.71,
8569,1431,3556,6444,0.75,0.86,0.64,0.77,0.71,
8568,1432,3555,6445,0.75,0.86,0.64,0.77,0.71,
8567,1433,3554,6446,0.75,0.86,0.64,0.77,0.71,
8566,1434,3553,6447,0.75,0.86,0.64,0.77,0.71,
8565,1435,3552,6448,0.75,0.86,0.64,0.77,0.71,
8564,1436,3551,6449,0.75,0.86,0.64,0.77,0.71,
8590,1410,3578,6422,0.75,0.86,0.64,0.77,0.71,
8589,1411,3577,6423,0.75,0.86,0.64,0.77,0.71,
8588,1412,3576,6424,0.75,0.86,0.64,0.77,0.71,
8587,1413,3575,6425,0.75,0.86,0.64,0.77,0.71,
8586,1414,3574,6426,0.75,0.86,0.64,0.77,0.71,
8585,1415,3573,6427,0.75,0.86,0.64,0.77,0.71,
8584,1416,3572,6428,0.75,0.86,0.64,0.77,0.71,
8583,1417,3571,6429,0.75,0.86,0.64,0.77,0.71,
8582,1418,3570,6430,0.75,0.86,0.64,0.77,0.71,
8581,1419,3569,6431,0.75,0.86,0.64,0.77,0.71,
8580,1420,3568,6432,0.75,0.86,0.64,0.77,0.71,
8579,1421,3567,6433,0.75,0.86,0.64,0.77,0.71,
8578,1422,3566,6434,0.75,0.86,0.64,0.77,0.71,
8577,1423,3565,6435,0.75,0.86,0.64,0.77,0.71,
8576,1424,3564,6436,0.75,0.86,0.64,0.77,0.71,
8575,1425,3563,6437,0.75,0.86,0.64,0.77,0.71,
8574,1426,3562,6438,0.75,0.86,0.64,0.77,0.71,
